"loss_function","learning_rate","weight_decay","final_train_accuracy","final_test_accuracy"
"cross_entropy","0.0003","0.001","0.44966667890548706","0.40779998898506165"
"cross_entropy","0.0003","0.0001","0.4577111005783081","0.4034000039100647"
"cross_entropy","0.0003","0.00001","0.4585111141204834","0.4032999873161316"
"cross_entropy","0.05","0.001","0.23111110925674438","0.21819999814033508"
"cross_entropy","0.05","0.0001","0.25760000944137573","0.23340000212192535"
"cross_entropy","0.05","0.00001","0.3017111122608185","0.25429999828338623"
"cross_entropy","0.01","0.001","0.3491777777671814","0.32030001282691956"
"cross_entropy","0.01","0.0001","0.3651111125946045","0.30959999561309814"
"cross_entropy","0.01","0.00001","0.37253332138061523","0.30379998683929443"
"cross_entropy","0.0003","0","0.4587111175060272","0.40369999408721924"
"cross_entropy","0.05","0","0.31691110134124756","0.2524999976158142"
"cross_entropy","0.01","0","0.37380000948905945","0.304500013589859"
"rmse_loss","0.0003","0","0.42951110005378723","0.3553999960422516"
"cross_entropy_loss","0.0003","0","0.4586222171783447","0.40389999747276306"
"hinge_loss","0.0003","0","0.43682223558425903","0.385699987411499"
"cross_entropy_loss","0.0003","0","0.4584888815879822","0.4041000008583069"
"<lambda>","0.0003","0","0.4610888957977295","0.4023999869823456"
